全国 感染患者147人 疑似患者317人 治愈27人 死亡21人
安徽 感染患者0人 疑似患者0人 治愈0人 死亡0人
澳门 感染患者0人 疑似患者0人 治愈0人 死亡0人
北京 感染患者0人 疑似患者0人 治愈0人 死亡0人
重庆 感染患者0人 疑似患者0人 治愈0人 死亡0人
福建 感染患者22人 疑似患者38人 治愈3人 死亡0人
甘肃 感染患者0人 疑似患者0人 治愈0人 死亡0人
广东 感染患者0人 疑似患者0人 治愈0人 死亡0人
广西 感染患者0人 疑似患者0人 治愈0人 死亡0人
贵州 感染患者0人 疑似患者0人 治愈0人 死亡0人
海南 感染患者0人 疑似患者0人 治愈0人 死亡0人
河北 感染患者0人 疑似患者0人 治愈0人 死亡0人
河南 感染患者0人 疑似患者0人 治愈0人 死亡0人
黑龙江 感染患者0人 疑似患者0人 治愈0人 死亡0人
湖北 感染患者125人 疑似患者279人 治愈24人 死亡21人
湖南 感染患者0人 疑似患者0人 治愈0人 死亡0人
吉林 感染患者0人 疑似患者0人 治愈0人 死亡0人
江苏 感染患者0人 疑似患者0人 治愈0人 死亡0人
江西 感染患者0人 疑似患者0人 治愈0人 死亡0人
辽宁 感染患者0人 疑似患者0人 治愈0人 死亡0人
内蒙古 感染患者0人 疑似患者0人 治愈0人 死亡0人
宁夏 感染患者0人 疑似患者0人 治愈0人 死亡0人
青海 感染患者0人 疑似患者0人 治愈0人 死亡0人
山东 感染患者0人 疑似患者0人 治愈0人 死亡0人
山西 感染患者0人 疑似患者0人 治愈0人 死亡0人
陕西 感染患者0人 疑似患者0人 治愈0人 死亡0人
上海 感染患者0人 疑似患者0人 治愈0人 死亡0人
四川 感染患者0人 疑似患者0人 治愈0人 死亡0人
台湾 感染患者0人 疑似患者0人 治愈0人 死亡0人
天津 感染患者0人 疑似患者0人 治愈0人 死亡0人
西藏 感染患者0人 疑似患者0人 治愈0人 死亡0人
香港 感染患者0人 疑似患者0人 治愈0人 死亡0人
新疆 感染患者0人 疑似患者0人 治愈0人 死亡0人
云南 感染患者0人 疑似患者0人 治愈0人 死亡0人
浙江 感染患者0人 疑似患者0人 治愈0人 死亡0人
